Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M-25-0415_2Dr3_UDP0009-UDP0009_L002_R1_001	93.44081444916984	59.0	257.0	257	50.0	2.45416
M-25-0415_2Dr3_UDP0009-UDP0009_L002_R2_001	90.56458789672976	56.0	257.0	257	41.66666666666667	2.45416
M-25-0416_2PRr2_UDP0011-UDP0011_L002_R1_001	93.83690597148885	56.0	257.0	257	33.33333333333333	0.8099989999999999
M-25-0416_2PRr2_UDP0011-UDP0011_L002_R2_001	92.64752178706394	54.0	257.0	257	41.66666666666667	0.8099989999999999
M-25-0417_2Sr3_UDP0010-UDP0010_L002_R1_001	94.25043675745435	57.0	257.0	257	41.66666666666667	1.5094189999999998
M-25-0417_2Sr3_UDP0010-UDP0010_L002_R2_001	91.2919457849133	54.0	257.0	257	50.0	1.5094189999999998
M-25-0418_30Dr1_UDP0160-UDP0160_L002_R1_001	89.10018737790536	58.0	257.0	257	50.0	0.225747
M-25-0418_30Dr1_UDP0160-UDP0160_L002_R2_001	86.15884153499272	56.0	257.0	257	41.66666666666667	0.225747
M-25-0419_30PRr1_UDP0165-UDP0165_L002_R1_001	92.91834441184737	57.0	257.0	257	33.33333333333333	1.9299009999999999
M-25-0419_30PRr1_UDP0165-UDP0165_L002_R2_001	92.6678402481169	55.0	257.0	257	41.66666666666667	1.9299009999999999
M-25-0420_30PRr3_UDP0166-UDP0166_L002_R1_001	94.43238177953512	57.0	257.0	257	41.66666666666667	1.006319
M-25-0420_30PRr3_UDP0166-UDP0166_L002_R2_001	91.8874631205413	55.0	257.0	257	41.66666666666667	1.006319
M-25-0421_30Sr1_UDP0162-UDP0162_L002_R1_001	92.98388477427518	56.0	257.0	257	50.0	0.671725
M-25-0421_30Sr1_UDP0162-UDP0162_L002_R2_001	92.12877293535301	55.0	257.0	257	50.0	0.671725
M-25-0422_30Sr3_UDP0164-UDP0164_L002_R1_001	91.10061880745431	60.0	257.0	257	58.333333333333336	0.866667
M-25-0422_30Sr3_UDP0164-UDP0164_L002_R2_001	88.9210042611522	58.0	257.0	257	50.0	0.866667
M-25-0423_31Dr2_UDP0167-UDP0167_L002_R1_001	90.7916090287275	61.0	257.0	257	50.0	1.018571
M-25-0423_31Dr2_UDP0167-UDP0167_L002_R2_001	89.14424093784108	59.0	257.0	257	41.66666666666667	1.018571
M-25-0424_31PRr2_UDP0170-UDP0170_L002_R1_001	94.96395325194268	55.0	257.0	257	50.0	0.904936
M-25-0424_31PRr2_UDP0170-UDP0170_L002_R2_001	93.02635766507245	54.0	257.0	257	50.0	0.904936
M-25-0425_31PRr3_UDP0171-UDP0171_L002_R1_001	93.99707104083454	56.0	257.0	257	41.66666666666667	0.626161
M-25-0425_31PRr3_UDP0171-UDP0171_L002_R2_001	93.00004311990047	54.0	257.0	257	41.66666666666667	0.626161
M-25-0426_31Sr2_UDP0169-UDP0169_L002_R1_001	91.84249807801302	58.0	257.0	257	41.66666666666667	0.712804
M-25-0426_31Sr2_UDP0169-UDP0169_L002_R2_001	90.58492937750069	56.0	257.0	257	41.66666666666667	0.712804
M-25-0427_32PRr2_UDP0176-UDP0176_L002_R1_001	90.43171747389528	62.0	257.0	257	50.0	1.281108
M-25-0427_32PRr2_UDP0176-UDP0176_L002_R2_001	89.22060511959447	60.0	257.0	257	58.333333333333336	1.281108
M-25-0428_33Dr2_UDP0179-UDP0179_L002_R1_001	93.45609797962948	57.0	257.0	257	50.0	0.827274
M-25-0428_33Dr2_UDP0179-UDP0179_L002_R2_001	91.23422227702068	55.0	257.0	257	41.66666666666667	0.827274
